"s1c2d1_22.5mg - RawData"
"Wavelength nm.","Abs."
200.00,1.153
201.00,1.145
202.00,1.132
203.00,1.129
204.00,1.127
205.00,1.126
206.00,1.117
207.00,1.113
208.00,1.109
209.00,1.104
210.00,1.099
211.00,1.093
212.00,1.090
213.00,1.082
214.00,1.077
215.00,1.072
216.00,1.071
217.00,1.066
218.00,1.063
219.00,1.060
220.00,1.056
221.00,1.051
222.00,1.042
223.00,1.032
224.00,1.019
225.00,1.009
226.00,1.000
227.00,0.991
228.00,0.973
229.00,0.954
230.00,0.927
231.00,0.902
232.00,0.875
233.00,0.849
234.00,0.817
235.00,0.784
236.00,0.751
237.00,0.714
238.00,0.678
239.00,0.641
240.00,0.611
241.00,0.580
242.00,0.548
243.00,0.519
244.00,0.490
245.00,0.467
246.00,0.442
247.00,0.423
248.00,0.404
249.00,0.388
250.00,0.372
251.00,0.359
252.00,0.346
253.00,0.335
254.00,0.326
255.00,0.318
256.00,0.309
257.00,0.298
258.00,0.291
259.00,0.281
260.00,0.269
261.00,0.258
262.00,0.254
263.00,0.248
264.00,0.242
265.00,0.236
266.00,0.233
267.00,0.233
268.00,0.230
269.00,0.228
270.00,0.224
271.00,0.220
272.00,0.216
273.00,0.211
274.00,0.210
275.00,0.210
276.00,0.211
277.00,0.209
278.00,0.208
279.00,0.204
280.00,0.204
281.00,0.201
282.00,0.201
283.00,0.201
284.00,0.200
285.00,0.202
286.00,0.201
287.00,0.201
288.00,0.202
289.00,0.203
290.00,0.204
291.00,0.201
292.00,0.197
293.00,0.200
294.00,0.200
295.00,0.200
296.00,0.197
297.00,0.198
298.00,0.197
299.00,0.194
300.00,0.171
301.00,0.154
302.00,0.139
303.00,0.139
304.00,0.138
305.00,0.137
306.00,0.138
307.00,0.138
308.00,0.137
309.00,0.135
310.00,0.127
311.00,0.118
312.00,0.111
313.00,0.110
314.00,0.109
315.00,0.110
316.00,0.109
317.00,0.108
318.00,0.105
319.00,0.105
320.00,0.103
321.00,0.103
322.00,0.101
323.00,0.101
324.00,0.100
325.00,0.100
326.00,0.098
327.00,0.098
328.00,0.098
329.00,0.097
330.00,0.095
331.00,0.094
332.00,0.094
333.00,0.095
334.00,0.095
335.00,0.093
336.00,0.092
337.00,0.092
338.00,0.090
339.00,0.089
340.00,0.089
341.00,0.088
342.00,0.089
343.00,0.088
344.00,0.089
345.00,0.089
346.00,0.089
347.00,0.089
348.00,0.088
349.00,0.088
350.00,0.088
351.00,0.088
352.00,0.088
353.00,0.088
354.00,0.088
355.00,0.088
356.00,0.089
357.00,0.089
358.00,0.089
359.00,0.088
360.00,0.086
361.00,0.085
362.00,0.085
363.00,0.087
364.00,0.087
365.00,0.087
366.00,0.087
367.00,0.087
368.00,0.087
369.00,0.087
370.00,0.087
371.00,0.086
372.00,0.087
373.00,0.087
374.00,0.087
375.00,0.087
376.00,0.087
377.00,0.087
378.00,0.087
379.00,0.087
380.00,0.087
381.00,0.087
382.00,0.087
383.00,0.086
384.00,0.086
385.00,0.086
386.00,0.086
387.00,0.086
388.00,0.086
389.00,0.085
390.00,0.085
391.00,0.085
392.00,0.086
393.00,0.086
394.00,0.085
395.00,0.086
396.00,0.085
397.00,0.084
398.00,0.084
399.00,0.084
400.00,0.083
401.00,0.082
402.00,0.082
403.00,0.082
404.00,0.082
405.00,0.081
406.00,0.081
407.00,0.080
408.00,0.080
409.00,0.080
410.00,0.079
411.00,0.079
412.00,0.080
413.00,0.081
414.00,0.080
415.00,0.079
416.00,0.078
417.00,0.078
418.00,0.076
419.00,0.077
420.00,0.078
421.00,0.078
422.00,0.077
423.00,0.076
424.00,0.075
425.00,0.075
426.00,0.075
427.00,0.074
428.00,0.073
429.00,0.072
430.00,0.071
431.00,0.070
432.00,0.070
433.00,0.070
434.00,0.069
435.00,0.069
436.00,0.069
437.00,0.069
438.00,0.068
439.00,0.069
440.00,0.067
441.00,0.068
442.00,0.067
